date,product,quantity,revenue,weather,temp_avg,temp_max,temp_min
2026-01-19,잠봉 베이글 샌드위치,12,"96,000",Snow,0.3,1.2,-0.6
2026-01-19,당근라페베이컨 샌드위치,12,"91,200",Snow,0.3,1.2,-0.6
2026-01-19,바질살라미모짜렐라,11,"83,600",Snow,0.3,1.2,-0.6
2026-01-19,플레인햄치즈 샌드위치,10,"76,000",Snow,0.3,1.2,-0.6
2026-01-19,아메리카노 ICE,16,"64,000",Snow,0.3,1.2,-0.6
2026-01-19,소프트소금빵,19,"57,000",Snow,0.3,1.2,-0.6
2026-01-19,카야버터프레첼베이글,8,"44,800",Snow,0.3,1.2,-0.6
2026-01-19,생식빵,6,"39,000",Snow,0.3,1.2,-0.6
2026-01-19,초코베이글,10,"36,000",Snow,0.3,1.2,-0.6
2026-01-19,감자치즈베이글,10,"36,000",Snow,0.3,1.2,-0.6
2026-01-19,모찌모찌 식빵,6,"33,000",Snow,0.3,1.2,-0.6
2026-01-19,쪽파베이글 샌드위치,5,"32,500",Snow,0.3,1.2,-0.6
2026-01-19,무화과베이글,9,"32,400",Snow,0.3,1.2,-0.6
2026-01-19,에그타르트,8,"32,000",Snow,0.3,1.2,-0.6
2026-01-19,아메리카노 HOT,8,"32,000",Snow,0.3,1.2,-0.6
2026-01-19,후추소금빵,10,"32,000",Snow,0.3,1.2,-0.6
2026-01-19,플레인베이글,10,"30,000",Snow,0.3,1.2,-0.6
2026-01-19,맘모스,6,"28,800",Snow,0.3,1.2,-0.6
2026-01-19,호두크랜베리베이글,8,"28,000",Snow,0.3,1.2,-0.6
2026-01-19,통밀잡곡식빵,5,"27,500",Snow,0.3,1.2,-0.6
2026-01-19,블루베리 베이글,7,"25,200",Snow,0.3,1.2,-0.6
2026-01-19,고메버터 스콘,7,"25,200",Snow,0.3,1.2,-0.6
2026-01-19,올리브베이글,7,"23,800",Snow,0.3,1.2,-0.6
2026-01-19,더블초코스콘,6,"22,800",Snow,0.3,1.2,-0.6
2026-01-19,바닐라까눌레,7,"18,900",Snow,0.3,1.2,-0.6
2026-01-19,단팥빵,8,"16,000",Snow,0.3,1.2,-0.6
2026-01-19,카페라떼 ICE,3,"13,500",Snow,0.3,1.2,-0.6
2026-01-19,바닐라빈라떼 ICE,2,"10,600",Snow,0.3,1.2,-0.6
2026-01-19,애플키위믹스,2,"10,000",Snow,0.3,1.2,-0.6
2026-01-19,착즙 애플,2,"10,000",Snow,0.3,1.2,-0.6
2026-01-19,바닐라빈라떼 HOT,1,"5,300",Snow,0.3,1.2,-0.6
2026-01-19,카페라떼 HOT,1,"4,500",Snow,0.3,1.2,-0.6
2026-01-19,크림치즈,3,"4,500",Snow,0.3,1.2,-0.6
2026-01-19,블루베리 크림치즈,2,"3,600",Snow,0.3,1.2,-0.6
2026-01-19,바질토마토 크림치즈,1,"1,800",Snow,0.3,1.2,-0.6
2026-01-19,연하게,2,0,Snow,0.3,1.2,-0.6
2026-01-18,잠봉 베이글 샌드위치,16,"128,000",Sunny,5.4,8.2,-0.2
2026-01-18,당근라페베이컨 샌드위치,16,"121,600",Sunny,5.4,8.2,-0.2
2026-01-18,바질살라미모짜렐라,16,"121,600",Sunny,5.4,8.2,-0.2
2026-01-18,플레인햄치즈 샌드위치,10,"76,000",Sunny,5.4,8.2,-0.2
2026-01-18,쪽파베이글 샌드위치,9,"58,500",Sunny,5.4,8.2,-0.2
2026-01-18,소프트소금빵,17,"51,000",Sunny,5.4,8.2,-0.2
2026-01-18,카야버터프레첼베이글,9,"50,400",Sunny,5.4,8.2,-0.2
2026-01-18,에그타르트,12,"48,000",Sunny,5.4,8.2,-0.2
2026-01-18,바닐라빈라떼 ICE,9,"47,700",Sunny,5.4,8.2,-0.2
2026-01-18,아메리카노 ICE,11,"44,000",Sunny,5.4,8.2,-0.2
2026-01-18,감자치즈베이글,11,"39,600",Sunny,5.4,8.2,-0.2
2026-01-18,맘모스,8,"38,400",Sunny,5.4,8.2,-0.2
2026-01-18,아메리카노 HOT,9,"36,000",Sunny,5.4,8.2,-0.2
2026-01-18,플레인베이글,10,"30,000",Sunny,5.4,8.2,-0.2
2026-01-18,블루베리 베이글,8,"28,800",Sunny,5.4,8.2,-0.2
2026-01-18,무화과베이글,8,"28,800",Sunny,5.4,8.2,-0.2
2026-01-18,고메버터 스콘,8,"28,800",Sunny,5.4,8.2,-0.2
2026-01-18,올리브베이글,8,"27,200",Sunny,5.4,8.2,-0.2
2026-01-18,생식빵,4,"26,000",Sunny,5.4,8.2,-0.2
2026-01-18,카페라떼 HOT,5,"22,500",Sunny,5.4,8.2,-0.2
2026-01-18,모찌모찌 식빵,4,"22,000",Sunny,5.4,8.2,-0.2
2026-01-18,단팥빵,11,"22,000",Sunny,5.4,8.2,-0.2
2026-01-18,초코베이글,6,"21,600",Sunny,5.4,8.2,-0.2
2026-01-18,통밀잡곡식빵,3,"16,500",Sunny,5.4,8.2,-0.2
2026-01-18,애플키위믹스,3,"15,000",Sunny,5.4,8.2,-0.2
2026-01-18,호두크랜베리베이글,4,"14,000",Sunny,5.4,8.2,-0.2
2026-01-18,후추소금빵,4,"12,800",Sunny,5.4,8.2,-0.2
2026-01-18,착즙 오렌지,2,"10,000",Sunny,5.4,8.2,-0.2
2026-01-18,바닐라까눌레,3,"8,100",Sunny,5.4,8.2,-0.2
2026-01-18,더블초코스콘,2,"7,600",Sunny,5.4,8.2,-0.2
2026-01-18,블루베리 크림치즈,3,"5,400",Sunny,5.4,8.2,-0.2
2026-01-18,바닐라빈라떼 HOT,1,"5,300",Sunny,5.4,8.2,-0.2
2026-01-18,카페라떼 ICE,1,"4,500",Sunny,5.4,8.2,-0.2
2026-01-18,크림치즈,2,"3,000",Sunny,5.4,8.2,-0.2
2026-01-18,바질토마토 크림치즈,1,"1,800",Sunny,5.4,8.2,-0.2
2026-01-17,당근라페치아바타샌드위치,28,"224,000",Sunny,3,5.9,-0.4
2026-01-17,쉬림프과카몰리샌드위치,21,"178,500",Sunny,3,5.9,-0.4
2026-01-17,바질 잠봉(루꼴라),19,"165,300",Sunny,3,5.9,-0.4
2026-01-17,치아바타 샌드위치,18,"135,000",Sunny,3,5.9,-0.4
2026-01-17,모짜렐라살라미치즈,13,"115,700",Sunny,3,5.9,-0.4
2026-01-17,바게트 잠봉,12,"99,300",Sunny,3,5.9,-0.4
2026-01-17,피스타치오햄바게트,11,"97,900",Sunny,3,5.9,-0.4
2026-01-17,감자 치즈,15,"90,000",Sunny,3,5.9,-0.4
2026-01-17,아메리카노 ICE,18,"72,000",Sunny,3,5.9,-0.4
2026-01-17,크렌베리닭가슴살샌드위치,11,"66,000",Sunny,3,5.9,-0.4
2026-01-17,에그타르트,15,"60,000",Sunny,3,5.9,-0.4
2026-01-17,단호박 크림치즈,9,"58,500",Sunny,3,5.9,-0.4
2026-01-17,아메리카노 HOT,12,"48,000",Sunny,3,5.9,-0.4
2026-01-17,소금빵,17,"47,600",Sunny,3,5.9,-0.4
2026-01-17,소세지빵,10,"45,000",Sunny,3,5.9,-0.4
2026-01-17,무화과 크림치즈 사워도우,8,"44,800",Sunny,3,5.9,-0.4
2026-01-17,고메버터 스콘,12,"43,200",Sunny,3,5.9,-0.4
2026-01-17,앙버터,9,"43,200",Sunny,3,5.9,-0.4
2026-01-17,고구마크림치즈사워도우,7,"40,600",Sunny,3,5.9,-0.4
2026-01-17,바게트,6,"40,000",Sunny,3,5.9,-0.4
2026-01-17,바닐라까눌레,10,"27,000",Sunny,3,5.9,-0.4
2026-01-17,크로와상,7,"24,500",Sunny,3,5.9,-0.4
2026-01-17,올리브 치즈 치아바타,5,"22,500",Sunny,3,5.9,-0.4
2026-01-17,바닐라빈라떼 ICE,4,"21,200",Sunny,3,5.9,-0.4
2026-01-17,더블초코스콘,5,"19,000",Sunny,3,5.9,-0.4
2026-01-17,대파 사워도우,3,"17,100",Sunny,3,5.9,-0.4
2026-01-17,뺑오쇼콜라,4,"16,800",Sunny,3,5.9,-0.4
2026-01-17,미니페스츄리식빵,3,"16,500",Sunny,3,5.9,-0.4
2026-01-17,호두 크랜베리 사워도우,3,"15,900",Sunny,3,5.9,-0.4
2026-01-17,사워도우,3,"13,500",Sunny,3,5.9,-0.4
2026-01-17,착즙 오렌지,2,"10,000",Sunny,3,5.9,-0.4
2026-01-17,카페라떼 HOT,2,"9,000",Sunny,3,5.9,-0.4
2026-01-17,치아바타,2,"8,000",Sunny,3,5.9,-0.4
2026-01-17,마르티넬리 애플주스,2,"8,000",Sunny,3,5.9,-0.4
2026-01-17,애플키위믹스,1,"5,000",Sunny,3,5.9,-0.4
2026-01-16,쉬림프과카몰리샌드위치,19,"161,500",Sunny,6.2,10.6,-0.1
2026-01-16,치아바타 샌드위치,19,"142,500",Sunny,6.2,10.6,-0.1
2026-01-16,당근라페치아바타샌드위치,16,"128,000",Sunny,6.2,10.6,-0.1
2026-01-16,바질 잠봉(루꼴라),12,"104,400",Sunny,6.2,10.6,-0.1
2026-01-16,모짜렐라살라미치즈,11,"97,900",Sunny,6.2,10.6,-0.1
2026-01-16,바닐라까눌레,36,"97,200",Sunny,6.2,10.6,-0.1
2026-01-16,바게트 잠봉,10,"90,000",Sunny,6.2,10.6,-0.1
2026-01-16,피스타치오햄바게트,10,"89,000",Sunny,6.2,10.6,-0.1
2026-01-16,감자 치즈,10,"60,400",Sunny,6.2,10.6,-0.1
2026-01-16,단호박 크림치즈,9,"58,500",Sunny,6.2,10.6,-0.1
2026-01-16,크렌베리닭가슴살샌드위치,8,"48,000",Sunny,6.2,10.6,-0.1
2026-01-16,소금빵,17,"47,600",Sunny,6.2,10.6,-0.1
2026-01-16,소세지빵,10,"45,000",Sunny,6.2,10.6,-0.1
2026-01-16,에그타르트,11,"44,000",Sunny,6.2,10.6,-0.1
